PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock, TX",49-3011,Aircraft Mechanics and Service Technicians,detailed,160,18.1,0.173,0.19,29.1,60520,4,20.26,23.37,27.95,33.6,42.5,42140,48610,58130,69890,88410,,
TX,12420,"Austin-Round Rock, TX",49-3021,Automotive Body and Related Repairers,detailed,530,17.9,0.576,0.55,20.98,43630,3.7,13.99,16.55,20.3,24.13,30.45,29100,34430,42230,50180,63330,,
TX,12420,"Austin-Round Rock, TX",49-3022,Automotive Glass Installers and Repairers,detailed,100,44.6,0.108,0.87,19.11,39750,11.2,11.62,16.38,20.5,22.81,24.2,24160,34070,42640,47450,50330,,
TX,12420,"Austin-Round Rock, TX",49-3023,Automotive Service Technicians and Mechanics,detailed,3530,9.7,3.796,0.82,19.44,40430,3.4,10.81,14.77,18.84,23.57,29.03,22480,30720,39190,49030,60370,,
TX,12420,"Austin-Round Rock, TX",49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,detailed,1000,12.4,1.078,0.59,21.13,43940,3.6,13.43,16.73,20.92,25.88,29.51,27930,34790,43520,53830,61390,,
TX,12420,"Austin-Round Rock, TX",49-3041,Farm Equipment Mechanics and Service Technicians,detailed,**,**,**,**,12.92,26860,5.8,10.19,11.13,12.41,13.83,14.69,21180,23160,25810,28770,30550,,
TX,12420,"Austin-Round Rock, TX",49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detailed,370,21.3,0.402,0.45,20.21,42030,2.2,14.02,16.39,19.46,23.66,28.06,29170,34100,40480,49210,58360,,
TX,12420,"Austin-Round Rock, TX",49-3052,Motorcycle Mechanics,detailed,80,35.2,0.091,0.79,16.95,35250,8.6,10.32,11.87,16.36,19.48,26.76,21470,24690,34020,40510,55670,,
TX,12420,"Austin-Round Rock, TX",49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,detailed,110,20.9,0.115,0.5,18.39,38250,7.4,11.05,13.64,17.91,23.53,27.37,22990,28380,37240,48940,56920,,
TX,12420,"Austin-Round Rock, TX",49-3091,Bicycle Repairers,detailed,**,**,**,**,14.2,29540,4.9,12.06,12.79,14,15.35,17.72,25080,26600,29120,31920,36850,,
