area,area_title,area_type,naics,naics_title,i_group,own_code,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,pct_total,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-5011,Cargo and Freight Agents,detailed,520,47.8,0.483,0.74,,21.76,45260,2.4,12.65,17.08,21.25,27.26,31.01,26320,35530,44200,56700,64500,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-5021,Couriers and Messengers,detailed,600,29.2,0.555,1.09,,12.27,25520,2.4,8.54,9.86,12.05,14.38,16.41,17760,20510,25070,29900,34130,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-5031,Public Safety Telecommunicators,detailed,570,5.8,0.529,0.82,,20.42,42480,2.1,15.04,17.17,20.45,23.58,26.69,31270,35710,42540,49040,55520,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",detailed,1020,11.9,0.95,0.7,,20.46,42560,2.5,12.69,15.42,19.87,24.83,29.09,26400,32070,41330,51640,60510,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-5041,"Meter Readers, Utilities",detailed,90,22.5,0.085,0.41,,*,*,*,*,*,*,*,*,*,*,*,*,*,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-5051,Postal Service Clerks,detailed,360,0,0.331,0.6,,23.51,48900,1.8,17.19,19.95,21.81,29.21,29.79,35760,41500,45360,60750,61970,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-5052,Postal Service Mail Carriers,detailed,1850,0,1.72,0.74,,25.01,52030,2.2,17.78,18.29,23.88,30.97,32.6,36990,38050,49670,64410,67820,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detailed,530,0,0.494,0.71,,24.68,51330,3.1,17.19,18.78,28.91,29.21,29.45,35760,39070,60140,60750,61270,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-5061,"Production, Planning, and Expediting Clerks",detailed,2150,8.3,2.002,0.79,,21.99,45730,2,14.09,16.67,20.34,26.57,31.9,29310,34670,42300,55270,66350,,
12420,"Austin-Round Rock, TX",4,000000,Cross-industry,cross-industry,1235,43-5071,"Shipping, Receiving, and Inventory Clerks",detailed,4820,8,4.493,0.94,,16.71,34760,2.1,10.94,13.23,16.27,19.78,23.57,22750,27510,33840,41130,49020,,
