PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock-San Marcos, TX",35-2019,"Cooks, All Other",detailed,120,47.4,0.145,0.9,11.46,23850,5.4,9.45,10.1,11.09,12.71,14.62,19660,21000,23070,26430,30410,,
TX,12420,"Austin-Round Rock-San Marcos, TX",35-2021,Food Preparation Workers,detailed,5480,18.6,6.74,1.12,9.67,20110,3.4,7.68,8.18,9.02,10.65,12.98,15970,17020,18770,22150,27010,,
TX,12420,"Austin-Round Rock-San Marcos, TX",35-3011,Bartenders,detailed,3280,8.9,4.037,0.98,9.66,20090,3.5,7.65,8.09,8.82,10.49,13.97,15910,16820,18350,21820,29050,,
TX,12420,"Austin-Round Rock-San Marcos, TX",35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",detailed,21860,8.1,26.897,1.19,9.28,19310,1.4,7.66,8.12,8.87,10.28,12.35,15930,16880,18460,21370,25680,,
TX,12420,"Austin-Round Rock-San Marcos, TX",35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",detailed,2750,26.5,3.386,1.02,8.37,17410,2,7.56,7.9,8.47,9.04,9.71,15730,16440,17630,18810,20200,,
TX,12420,"Austin-Round Rock-San Marcos, TX",35-3031,Waiters and Waitresses,detailed,16770,4,20.639,1.15,8.94,18600,2.2,7.63,8,8.62,9.25,12.13,15870,16640,17940,19230,25230,,
TX,12420,"Austin-Round Rock-San Marcos, TX",35-3041,"Food Servers, Nonrestaurant",detailed,1240,19.8,1.531,0.84,8.91,18540,2.7,7.62,8.01,8.66,9.31,11.35,15850,16660,18010,19360,23600,,
TX,12420,"Austin-Round Rock-San Marcos, TX",35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,3210,17.1,3.955,1.3,8.23,17120,1.4,7.6,7.92,8.45,8.98,9.31,15810,16470,17580,18680,19370,,
TX,12420,"Austin-Round Rock-San Marcos, TX",35-9021,Dishwashers,detailed,2840,11.1,3.492,0.91,8.55,17790,1.3,7.64,8.02,8.66,9.3,10.51,15880,16680,18020,19350,21860,,
TX,12420,"Austin-Round Rock-San Marcos, TX",35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,3010,13,3.705,1.41,8.83,18370,2.2,7.63,8.05,8.75,9.67,11.15,15870,16740,18200,20110,23200,,
TX,12420,"Austin-Round Rock-San Marcos, TX",35-9099,"Food Preparation and Serving Related Workers, All Other",detailed,240,20.8,0.289,1.02,8.65,17990,4.5,7.6,7.94,8.5,9.07,9.55,15800,16510,17680,18860,19870,,
TX,12420,"Austin-Round Rock-San Marcos, TX",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,24450,3.8,30.084,0.92,11.07,23030,1.8,7.84,8.56,10.06,12.82,16.34,16310,17810,20930,26660,34000,,
TX,12420,"Austin-Round Rock-San Marcos, TX",37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,790,9.5,0.968,0.74,16.53,34380,2.4,10.72,13.01,16.01,19.16,22.54,22300,27060,33300,39850,46890,,
