PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,12420,"Austin-Round Rock, TX",11-3061,Purchasing Managers,,300,14,0.393,0.766,59.09,122910,4.8,31.98,41.95,52.99,69.33,#,66510,87260,110230,144220,#,,
TX,12420,"Austin-Round Rock, TX",11-3071,"Transportation, Storage, and Distribution Managers",,420,6.9,0.554,0.78,43.75,91010,4.6,22.36,29.69,41.7,55.86,65.24,46510,61750,86740,116200,135690,,
TX,12420,"Austin-Round Rock, TX",11-3111,Compensation and Benefits Managers,,130,14.1,0.177,0.754,46.59,96910,2.5,30.1,37.52,45.21,54.68,64.93,62600,78030,94040,113740,135060,,
TX,12420,"Austin-Round Rock, TX",11-3121,Human Resources Managers,,350,12.8,0.459,0.862,59.55,123870,6.5,34.04,41.24,50.82,65.75,#,70810,85780,105710,136760,#,,
TX,12420,"Austin-Round Rock, TX",11-3131,Training and Development Managers,,130,17.5,0.174,0.788,46.32,96350,5.6,26.64,34.86,42.06,52.94,74.29,55420,72500,87490,110120,154520,,
TX,12420,"Austin-Round Rock, TX",11-9021,Construction Managers,,2360,12.5,3.109,2.064,35.66,74170,2.8,20.21,24.8,32.81,43.42,56.18,42050,51570,68240,90310,116860,,
TX,12420,"Austin-Round Rock, TX",11-9031,"Education Administrators, Preschool and Childcare Center/Program",,260,19.4,0.345,0.865,20.11,41840,5.9,14.54,16,18.7,21.99,29.53,30250,33280,38890,45730,61420,,
TX,12420,"Austin-Round Rock, TX",11-9032,"Education Administrators, Elementary and Secondary School",,1520,2.6,1.995,1.141,*,76350,2.4,*,*,*,*,*,53560,63180,74430,89740,106400,TRUE,
TX,12420,"Austin-Round Rock, TX",11-9039,"Education Administrators, All Other",,130,28.5,0.166,0.751,45.32,94270,12.9,13.76,27.89,52.09,58.44,64.5,28620,58020,108350,121550,134170,,
TX,12420,"Austin-Round Rock, TX",11-9041,Architectural and Engineering Managers,,**,**,**,**,64.34,133830,3.8,39.99,47.99,59.06,75.55,#,83170,99820,122850,157140,#,,
TX,12420,"Austin-Round Rock, TX",11-9051,Food Service Managers,,1190,12,1.566,1.065,24.52,51010,6.2,14.53,17.67,22.14,26.74,33.73,30220,36760,46050,55620,70160,,
TX,12420,"Austin-Round Rock, TX",11-9081,Lodging Managers,,150,26,0.193,0.82,25.84,53750,11.3,14.09,15.79,22.39,33.68,39.41,29300,32850,46570,70050,81960,,
TX,12420,"Austin-Round Rock, TX",11-9111,Medical and Health Services Managers,,850,9.7,1.123,0.504,41.78,86900,3.8,22.36,30.09,36.8,48.73,63.77,46500,62590,76540,101350,132640,,
TX,12420,"Austin-Round Rock, TX",11-9121,Natural Sciences Managers,,130,16.7,0.175,0.484,62.93,130890,5.1,41.16,48.51,57.34,70.46,#,85600,100900,119260,146550,#,,
TX,12420,"Austin-Round Rock, TX",11-9131,Postmasters and Mail Superintendents,,40,0,0.046,0.232,35.15,73110,1.6,26.13,29.21,36.14,39.91,45.2,54340,60750,75180,83010,94010,,
TX,12420,"Austin-Round Rock, TX",11-9141,"Property, Real Estate, and Community Association Managers",,1210,9.9,1.593,1.376,26.53,55190,6.5,12.83,17.99,22.73,33.35,39.27,26680,37410,47290,69370,81680,,
TX,12420,"Austin-Round Rock, TX",11-9151,Social and Community Service Managers,,520,10.4,0.69,0.753,34.21,71160,4.8,16.98,21.13,28.94,45.2,57.08,35310,43960,60200,94010,118730,,
TX,12420,"Austin-Round Rock, TX",11-9199,"Managers, All Other",,830,5.9,1.09,0.404,58.08,120810,8.1,26.89,35.9,51.81,68.39,#,55940,74660,107760,142250,#,,
TX,12420,"Austin-Round Rock, TX",13-0000,Business and Financial Operations Occupations,major,**,**,**,**,31.67,65870,1.8,16.31,20.43,27.36,37.54,51.62,33920,42480,56910,78080,107370,,
TX,12420,"Austin-Round Rock, TX",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",,80,17.2,0.108,1.164,32.02,66590,18.6,13.82,16.66,27.11,48.7,55.21,28740,34650,56380,101300,114840,,
TX,12420,"Austin-Round Rock, TX",13-1022,"Wholesale and Retail Buyers, Except Farm Products",,530,12.9,0.699,0.821,26.71,55550,4.5,13.42,18.46,25.02,31.83,41.72,27910,38390,52040,66200,86770,,
